lat,lon,ym,BC_AOD,SU_AOD,DU_AOD,DU_AOD_pm25,T2m,T850,T500,T250,QV2M,Q850,Q500,Q250,elevation
29.0,79.375,1984-05-01,0.008729134,0.058661953,0.20188385,0.11380832,35.22340000000003,300.9089,267.382,231.97336,0.005472987,0.0048551755,0.00079387537,8.180803e-05,215.8316
29.0,79.375,1984-06-01,0.01256314,0.11050838,0.49912313,0.27527568,34.55984000000001,298.66534,270.8071,238.57869,0.014328235,0.012070979,0.0023968683,9.666503e-05,215.8316
29.0,79.375,1984-07-01,0.012191535,0.11045693,0.18132478,0.10053607,31.107420000000047,295.3584,271.15842,238.46284,0.017550757,0.0146320565,0.004375937,0.0002946344,215.8316
29.0,79.375,1984-08-01,0.010876321,0.09722304,0.07349008,0.04221433,30.13027,294.6664,271.61417,238.03459,0.018577078,0.015330609,0.0049171248,0.00041250535,215.8316
29.0,79.375,1984-09-01,0.009778033,0.07810171,0.07048013,0.041253623,25.237420000000043,292.29147,268.26263,234.56752,0.01678686,0.011819383,0.0021989401,0.00018923146,215.8316
29.0,79.375,1984-10-01,0.007908342,0.049332302,0.04326584,0.025991004,23.986800000000017,291.60458,266.16464,232.30414,0.009182035,0.0061134486,0.00017211829,5.3301526e-05,215.8316
29.0,79.375,1984-11-01,0.008071922,0.051250912,0.042370543,0.025365962,19.113550000000032,286.8058,259.96844,226.4804,0.0048340596,0.0033747666,0.0004290101,4.2556705e-05,215.8316
29.0,79.375,1984-12-01,0.0086928215,0.05226202,0.034189854,0.02073601,15.864280000000008,285.56808,259.38538,225.17773,0.003842339,0.002585771,0.00068767666,6.900304e-05,215.8316
29.0,79.375,1985-01-01,0.009606646,0.06960683,0.030712891,0.01882924,14.679560000000038,282.26846,255.22012,221.6649,0.004108,0.0033006014,0.0006953655,4.0465642e-05,215.8316
29.0,79.375,1985-02-01,0.0073241526,0.034129262,0.0490264,0.028417958,17.908600000000035,286.56003,260.0395,230.9383,0.0020865751,0.0016752532,0.00026167298,3.7922102e-05,215.8316
29.0,79.375,1985-03-01,0.0073146075,0.042774174,0.1465638,0.086205006,25.65730000000002,292.62506,261.12476,224.56528,0.002755455,0.0025722128,0.0008400396,8.294118e-05,215.8316
29.0,79.375,1985-04-01,0.008998506,0.047183245,0.17157131,0.09868601,30.268730000000005,295.7448,262.3926,229.60982,0.0052610454,0.0047776746,0.0009221775,5.6083816e-05,215.8316
29.0,79.375,1985-05-01,0.010057539,0.055393115,0.1959916,0.111783154,34.04827,299.53342,264.48483,230.65819,0.0054111984,0.0045051626,0.00097141106,5.4663604e-05,215.8316
29.0,79.375,1985-06-01,0.010303733,0.066519,0.4311423,0.23769036,34.11712,299.77115,268.24677,238.13428,0.012126206,0.009087318,0.0012549156,9.116072e-05,215.8316
29.0,79.375,1985-07-01,0.012977049,0.09868324,0.15608042,0.08731085,30.11608000000001,295.1252,271.40002,238.09135,0.017800825,0.0144641,0.004899181,0.00038101105,215.8316
29.0,79.375,1985-08-01,0.012003412,0.087598056,0.115281224,0.06516579,28.109700000000032,294.22394,271.89755,238.66554,0.020376898,0.0155778285,0.0050137877,0.00041876396,215.8316
29.0,79.375,1985-09-01,0.012221552,0.07126471,0.08669662,0.049029425,26.112570000000005,292.7631,269.63727,235.86407,0.017415462,0.012923261,0.0031658632,0.00019942419,215.8316
29.0,79.375,1985-10-01,0.010138316,0.053352807,0.028142389,0.017084211,21.658720000000017,289.71082,265.3481,231.4955,0.012302092,0.008187694,0.0013711083,9.245111e-05,215.8316
29.0,79.375,1985-11-01,0.009839649,0.05058549,0.046905234,0.02786618,17.625120000000038,286.87598,260.91827,226.25282,0.007330731,0.004244485,0.00044747294,5.222409e-05,215.8316
29.0,79.375,1985-12-01,0.011555755,0.06649906,0.027719771,0.016607609,15.290700000000015,285.13464,259.7217,224.97504,0.006124939,0.0039666016,0.0006172631,7.414684e-05,215.8316
29.0,79.375,1986-01-01,0.010420624,0.044243738,0.020966088,0.0132982815,13.876030000000014,283.30798,256.44626,226.17487,0.004565388,0.0028234874,0.00030325173,4.9363895e-05,215.8316
29.0,79.375,1986-02-01,0.008212172,0.054517135,0.051651683,0.03118108,16.342200000000048,283.88504,255.53337,224.31688,0.00563383,0.0039770347,0.00054393476,4.4182132e-05,215.8316
29.0,79.375,1986-03-01,0.009821403,0.04583628,0.15974687,0.09154937,22.419500000000028,289.03165,258.0712,226.65155,0.0058616316,0.00424437,0.00069378456,4.937458e-05,215.8316
