lat,lon,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
30.5,78.75,-270.6781399999999,-271.80002999999994,-267.40995,-263.71955999999994,-259.61286999999993,-256.8162,-255.69406999999995,-256.39179999999993,-257.38611999999995,-261.23233999999997,-264.49598
30.5,79.375,-278.30274999999995,-279.61549999999994,-275.33365999999995,-271.08543,-267.037,-263.95369999999997,-261.20136999999994,-261.78241999999995,-263.02881999999994,-267.36362999999994,-271.09069999999997
30.5,80.0,-287.89414999999997,-289.10062999999997,-285.29727999999994,-279.23069999999996,-276.07422999999994,-272.94562999999994,-267.93082999999996,-268.6296,-270.36395999999996,-275.47281999999996,-279.69307
30.5,80.625,-291.5242999999999,-292.04913,-288.66455999999994,-281.07075,-277.81474,-274.98695,-269.59993,-270.78029999999995,-272.55902999999995,-277.85153999999994,-283.15867
30.5,81.25,-292.16342,-292.3019499999999,-288.21442999999994,-281.16549999999995,-277.34741999999994,-274.8381499999999,-269.36695999999995,-270.94257999999996,-272.8382,-277.74168,-283.49033999999995
31.0,72.5,-264.97932,-263.78659999999996,-258.31999999999994,-253.14609999999993,-246.37924999999996,-241.37009999999998,-240.97202999999996,-244.74262999999996,-246.74497999999994,-251.01609999999994,-257.12539999999996
31.0,73.125,-265.15061999999995,-263.70807999999994,-258.50156999999996,-252.85759999999993,-246.33185999999995,-241.40709999999996,-241.56931999999995,-244.99161999999995,-246.92725999999993,-251.18973999999997,-256.94413
31.0,73.75,-265.49109999999996,-264.03538,-258.9318999999999,-252.88309999999996,-246.31272999999993,-241.71489999999994,-242.66406999999998,-245.63272999999998,-247.50119999999993,-251.56574999999998,-256.76706999999993
31.0,74.375,-266.05814999999996,-264.27109999999993,-259.30057999999997,-252.74246999999997,-246.21796999999998,-241.72373999999996,-243.01889999999997,-246.03595999999993,-247.84809999999993,-251.68997999999993,-256.7673199999999
31.0,75.0,-266.75206,-264.44473999999997,-259.34572,-252.69507999999996,-246.17862999999994,-241.74509999999998,-243.41104999999993,-246.23959999999994,-248.04495999999995,-251.73133999999993,-256.84572
31.0,75.625,-267.17019999999997,-264.15205,-259.03671999999995,-252.73984999999993,-246.35759999999993,-242.09199999999993,-243.99419999999998,-246.53293999999994,-248.32776999999993,-251.98334999999997,-257.14701999999994
